timestamp,speaker,words,tags
,RH:,"I can't give you the best picture of that. Now, a number of the Caribbean people went to St. Augustine's Church on Lenox Street. Many went to St. Augustine's Church. There was sort of like a cross -- St. Augustine's High Episcopal Church was on Lenox Street between Washington and Shawmut. Just up the block at Shawmut was Elder Payne's mission and Elder Payne would have been my uncle that was predominantly Caribbean. There was another Elder Preston had another Caribbean mission right on that same corner. Many of the people from the Caribbean would send their kids to these Sunday schools. People didn't go to the church but they sent their kids to these Sunday school. I think the Bynoe's' - while they went to St. Cyprian's Church, they would send their kids to these Sunday schools. A lot of West Indies kids would go to these Sunday schools -- the Elder Payne Sunday school or the Elder Preston's, right there on Shawmut Avenue by Lenox Street. So it was almost a traffic flow from St. Augustine's over to Tremont Street to St. Cyprian's and as I said recitals was a big thing in the 30's and 40's. Everybody's in music lessons. So you're going to so and so's recital at one place and so and so's recital at St. Cyprian's and so and so's recital at Butler's Hall. Most kids had music lessons when I was growing up, of some sort.",
,INT:,[inaudible],
,RH:,"Roy studied the violin and he didn't like it and he finally quit and there was a guy from the Jenkins Orphanage. One of the big things in black Roxbury during the summer was the Jenkins Orphanage from South Carolina would come with their bus. They had this band and they would play on the streets of Lower Roxbury. Roy got fascinated with the drummer. The guy live on, settled on Haskins Street, a guy named Herby Wright. One of the first black jazz drummers in the Boston area. Roy got fascinated with this guy. He never turned off from that point on.",
,INT:,I want to ask you a series of questions about some of the [inaudible] families of the 30's and 40's but before I do that when did you actually go to seminary school? How did that work out? I'm very curious about --?,
,RH:,Simpson Turner.,
,INT:,All right [inaudible -- laughing],
,RH:,"One of the things I said I had a little bout or contest with the former superintendent of school, William Orenburg who was the superintendent of Boston schools. At the time, he was the football and track coach. I couldn't play football and I wanted to run track but I had to work. Everybody in my house had to work. They had to get jobs, there's no money and we had to get jobs. So I had to work so I got a job in the First National store, part-time. The First National was still a three big chains in the late 30's and 40's chain stores. One was the First National, they were red. They had a store in almost every neighborhood. Then there was the Economy, they were green. Then there was National D, they were blue. So I got a job in the First National.",
,INT:,"So the whole thing about red, blue and green - -?",
,RH:,"The symbols of the stores. You see these stores, every fifteen blocks you go down Tremont Street and see these red stores on the corner; or you see these blue stores up on Humboldt Avenue. The National D, I think was Jewish owned. The Economy later became, I think, the Stop & Shop.",
,INT:,Yes. Why did they have to have colors?,
,RH:,To distinguish them.,
,INT:,"okay, all right. [inaudible]",
,RH:,"You could look up and down the street and you could tell a First National store, painted all red on the outside.",
,INT:,You worked in the red store?,
,RH:,I worked in the red store. You probably heard the name Ed Cooper before he died.,
,INT:,Yes.,
,RH:,"Ed Cooper was the first black to be employed as a manager in the First National. That came about because of the pressure. He worked in the First Nationals, one up on Humboldt Avenue, one down on the corner of Shawmut Avenue. I worked around the First National down on Columbus Avenue; there were three of them on Columbus Avenue. That's what I did going to English High. So I didn't run track. They manipulated me into, from Timilty School, into the business course. My parents didn't understand the Boston school system at all. All my mother knew, don't bring home a red mark and don't make me have to come to the school. There was nothing strange to see. One of my first nightmares in school, I was in elementary school, William Bacon, one of the West Indian mother's came up and beat her daughter in class. I was terrified by it. My mother threatened to do the same thing to us. So we didn't want my mother to come to school. First of all she had an accent and kids would make fun of her. So we didn't want my mother to come to school. I was the last one and my mother did radical child abuse if you did something wrong or she got a bad report from school. My mother would always be ironing and she made clothes. She made all her own dresses. Everybody got pajamas in my house over and over again. She could sew and she could iron. My mother would always be at the ironing board. She'd sit the ironing board right by the dining room. If you got in the dining room, there was only one way out of the dining room. If my mother got a report from the school or anything from the teacher, she'd wait until she cornered you in that dining room. One day she cornered me in the dining room and she said take the ironing cord out of the iron, and beat the devil out of you. She'd go to jail these days for it. But my mother always threatened to beat us if she had to come to school. I remember my guidance counselor so I didn't have like so many kids in my class, I don't know if you've ever met Baron Martin, he's a judge down in Wareham, he's attorney Martin's cousin. All of the kids from Humboldt Avenue that went to school with me had exposure to the powerful, powerful black leaders like, oh God he just died recently, he was a judge. I think in Newton Court -- Mitchell, Attorney Mitchell. The Mitchell's lived on Waumbeck Street. Mrs. Mitchell was the head; she was a pioneer in early education for kids. She ran the nursery at Shaw House. So Mitchell was in school with me. All of these kids from Humboldt Avenue, [Corte Alice] these are all the stars. All of these kids' parents know, these American kids parents [inaudible]. They got the better opportunities. The guidance counselor wouldn't give me the time of day. He wouldn't give me, I will never forget, he wouldn't give me the time of day. The time I got to senior year I didn't know what I was going to do with myself. I applied to several schools. I wanted to study church music. I applied to several schools and every school I applied to said that I didn't have all of the necessary credits to be accepted. In those days, it was unheard of that you became a special student. What you end up doing is find someone to make you below the Mason-Dixon Line to go away to school.",
,INT:,"Yes, yes.",
,RH:,"So Simpson Turner is in his senior year at Gordon College at the time. I applied to Gordon College, the dean was cold. I don't think they wanted another black student. Gordon was over in Fenway at the time. I don't think they wanted another black student there. I tried the Conservatory; Boston Conservatory all they said is I would have to get other credits to be admitted. At the time I got frustrated because the war was still on, this was 1944. I got frustrated and went and got a job at National Biscuit Company and said the heck with the whole thing. So I ended up buying clothes and records and it started getting good to me. Getting influenced by Vincent and Douglas rather than by the church folk; and Simpson Turner moved in on my life and says, no, God has a better plan for your life and this guy helped me to apply to several schools. I was accepted, minus a couple of necessary credits at a small, conservative theological school in Brookline called the New England School of Theology. The president of the school, a guy from Maine, named [Gaylord McVanna] took an interest in me. Come to find out later that the New England School of Theology was born as a bible institute. It started on [Rockford Park] in Roxbury. So this president, this school is in Brookline, took a particular interest. He always had some black friends in his class all during the time when he was a student. He paid for the courses I had to make up to get to become a student and that was the end of the story. I was treated like a king. I went all the way through and got a Bachelor of Theology degree. They sent me all over New England to all of these white churches as a student doing music directing.",
,RH:,"I became the youth speaker. They had a quartet at this school of theology, these white guys; they put me in the quartet. I traveled with them for two years and on weekends we'd travel all over the place until they got an invitation to come to Boone, North Carolina. That was the end of my career with the quartet.",
,INT:,[inaudible],
,RH:,They said you can't bring him [laughing].,
,INT:,I want to go back there [inaudible] the Bynoe family.,
,RH:,"The Bynoe family is a prominent name in my life, all of my life. Maybe because the Bynoe's came from Barbados and they lived on Williams Street. Williams Street was key because Cooper Community Center was on Shawmut Avenue and at the foot of Williams Street and they had their nursery on Williams Street. Cooper Community Center had their office and nursery on Williams. The Bynoe's came, Father Bynoe with all the pride, with all of the industry, all that marked the best of Barbados was in Mr. Bynoe and Mrs. Bynoe. And it was transmitted to Victor. Victor was born in Barbados and all of the other kids were born in, the think one of the daughters may have been born in Barbados too, but the other ones were born in Boston. John was my age. I knew John from nursery school when he pushed me around in nursery school.",
,INT:,[laughing],
,RH:,I remember that. He lived next door to Cooper Community Center and I was terrified by this kid.,
,INT:,[inaudible],
,RH:,I haven't in a long time.,
,INT:,[laughing],
,RH:,"So the Bynoe's were very, very active in the Darby Movement and they were sort of the spokesmen for the Barbados groups. Victor, as a high school student at Sherwin School, was an athlete and very, very -- as a high school student at English High -- this guy was already a leader. He had a big influence on my older brother, Douglas.",
,INT:,How so?,
,RH:,"Douglas went to the Sherwin School with Victor and, of course I said, the Bynoe's had a family stability that my family didn't have. My father started drinking and my mother was going to Pentecostal Church and he didn't like the Pentecostal Church. The Bynoe's became the stable family and Victor was a guy on a mission. He sort of became the leader for a lot of kids at Sherwin School and Boston English High where my older brother Douglas went too. Douglas ran track. Victor was in all of this. He was sort of one of the popular kids going up in the Lower Roxbury area.",
,INT:,How important was John Bynoe's [inaudible],
,RH:,"I'm not clear if John was the original, I may be wrong on this, John was the second. It was very important because he gave professional blacks a private club. They had an exclusive caterer who ran the business from the basement. The name slips my mind but she died a couple of years ago; but I don't know if you knew Edith Clapp who was the state policewoman? This was her family who owned that very exclusive catering business. You could go the businessman's club for your private parties and your private affairs and that sort of thing. After hours the black socialites would hang out in the businessman's club.",
,INT:,The [Guscott] family?,
,RH:,"The Guscott family, they were caught up in the Garvey Movement also. The Guscott's all played for the Panthers football team. They were all good football players playing the opposite team. John Bynoe played with the Panthers. Guscott went away to -- Kenneth Guscott was always a gifted speaker. He went away to the Merchant Marine Academy and was on the debating team. I remember when the Merchant Marine came to the Boston University. I was so proud to see this black guy on this debating team. They were always, of course, Victor Bynoe -- the older brother went to night school programs and worked at government jobs and became a part of the Boston Progressive Credit Union which sort of became the forerunner for a black bank. This became the powerful place where most blacks would take their money and Victor became a leader and eventually became a director or CEO of Boston Progressive Credit Union. Then later became the appointed consul for the nation of Barbados. So anyone coming from Barbados and any of the other islands -- because Barbados serves several other islands with any kind of problems you go to Victor Bynoe for everything.",
,INT:,Who is Shag and Bal Taylor?,
,RH:,"Shag and Bal Taylor -- indispensible leaders of the black community. They were born in Virginia and I believe if memory serves me correctly, both of them went to Lincoln University. I think both of them became pharmacists, I think. They opened up a drug store on the corner of Kendall and Tremont called Lincoln Pharmacy in tribute to Lincoln University. Through the course of time, Shag was very interested in politics and Shag became the black ward boss for the black community. All the democrats' politicians that had any concerns in the black community had to liaison with Shag Taylor. The first blacks that got on the police force, actually the first blacks because a couple of blacks got on before Shag's influence, but numbers of blacks got on the police force was all through Shag Taylor's invitation. His place was the hang out they tell me. When I was eleven I started selling the daily Record newspaper. That was the night newspaper that came out six o'clock and everybody bought it because it had the numbers in it. Listen, I didn't know what the numbers was --.",
,INT:,[laughing].,
,RH:,But I know I sold plenty of papers.,
,INT:,Yea [laughing],
,RH:,"In my corner, I sold -- I had customers I would pick up my papers on Northampton Street and I would go out all the way up to Roxbury Crossing and deliver my papers to families and then I would come back down to the corner of Slade's Barbeque and that would be my corner. I'd sell the rest of my papers there. So Shag was one of my customers and so I would go into Shag's to deliver my daily Record there. Shag's drug store never had a whole lot of stuff in it [laughing]. We had two other black stores. Shag's was on the corner of Tremont and Kendall and in Douglas Square and Hammond, there was another drug store owned by the Gideon's. It didn't stay very long. Up the street on the corner of Kennard and Tremont was Dr. Lewis. Dr. Lewis had everything in his place. His place was packed. This is where the Eagles hung out. He let kids hang out in his drug store, but Shag's was a business. Everybody often would come into Shag's and go to the back. As a kid I didn't know what was going on in the back room. You would get liquor after the closing hours in the back of Shag's store.",
,INT:,But this was for medicinal purposes only? [laughing],
,RH:,"Shag had his own private club across the street from his drug store, a dead end street; I don't remember the name of that street. [inaudible] a duplex apartment house, maybe two or three stories, I never went in. I'd bring the Records but he never let me in past the door. But I know what went on in there, this mysterious place. This was Shag's private after hour club over there.",
,INT:,[inaudible],
,RH:,"Wilford Scott, the Scott's lived on Haskins Street. Wilford's mother and father, I can remember them as a little boy. I almost think they had a wagon pulled by a horse. I've got to ask my brother, Roy about that. But I know there used to be a horse and wagon by their house. They had a beautiful home on Haskins Street and I can see the Scott's now. The first car I remember on Haskins Street, the Scott's had. The Scott's son, this Wilford, married the daughter of a black lady; I think is from South Carolina that lived diagonally across the street from us. She did a beauty parlor in her house. She had three daughters and the oldest one married Wilford Scott. The second one became, through Wilford Scott, became one of the first black's to be a secretary in the State House. The third one became one of the first black schoolteachers in the Boston school system. They opened up a business on the corner of Cabot Street and Gurgles Street called Deco Hair Supplies. They used to give away samples of pomade. Everybody needed pomade. We used to go in there and get samples. Then they moved across the street on the north side of Ruggles and I guess they were paying rent as I recollect. Then they bought a building off of Ruggles Street on the corner of Westminster, a three-story building and I guess they started making their own remedies for hairdressing and all this stuff. They rented the Deco Supply business there for many years and eventually moved to, after urban renewal, they moved up to Blue Hill Avenue. Wilford's wife ran the business while Wilford Scott negotiated on behalf of the Republican Party. I can remember seeing limos pull up and I remember my brother Douglas got in trouble with the police or something one day and he went straight to Wilford Scott to help him out. So he was the recognized republican ward boss of the black community for years.",
,INT:,The Reed family?,
,RH:,"The Reed family -- some of the Reeds are still around. They lived on Tremont Street just up above Vernon Street. They were very, very active in Masonic orders and active in music and bugle and drum corps. Bugle and drum corps used to be big things in the community -- Big Things! St. Cyprian's had one of the early bugle and drum corps and it was one of the most popular things in the community. [inaudible] -- . Then they became very active in the Masons and in lodges.",
,INT:,[inaudible] individuals could you briefly in your mind describe why the black community in the 30s and 40s are so different than what we see today in the black community? What are the major things? You described things that the kids in Roxbury heard now would just blow their minds all of these cultural and musical and religious activities and different people -- what's the difference?,
